"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"1936","Tommy Bridges","Tigers","5.35","3.51","1.52","0.64","13.8%","9.0%","4.7%",".251","1.37",".280","70.6%","72","89","","3.60","4.22","-0.62","","","1001421"
"1939","Danny MacFayden","Bees","2.16","2.77","0.78","0.52","5.4%","7.0%","-1.5%",".282","1.46",".289","68.5%","107","112","","3.90","4.22","-0.33","","","1007904"
"1896","Win Mercer","Senators","2.31","2.87","0.80","0.25","","","",".306","1.56",".322","54.9%","93","96","","4.13","4.22","-0.10","","","1008778"
"1971","Carl Morton","Expos","3.54","3.50","1.01","0.93","8.8%","8.7%","0.1%",".289","1.57",".301","68.1%","136","122","","4.80","4.23","0.58","","","1009230"
"1945","Johnny Hutchings","Braves","4.82","3.65","1.32","1.02","12.4%","9.4%","3.0%",".240","1.34",".253","74.1%","98","114","","3.75","4.23","-0.48","","","1006241"
"1934","Firpo Marberry","Tigers","3.70","2.78","1.33","0.69","9.4%","7.0%","2.3%",".274","1.43",".290","63.4%","103","96","","4.57","4.23","0.34","","","1008100"
"1953","Jim Konstanty","Phillies","2.37","2.21","1.07","0.95","6.1%","5.7%","0.4%",".287","1.41",".287","70.3%","105","101","","4.43","4.23","0.20","","","1007098"
"1972","Milt Wilcox","Indians","5.19","4.15","1.25","1.04","13.5%","10.8%","2.7%",".245","1.39",".262","78.8%","106","127","","3.40","4.23","-0.82","","","1013939"
"1931","Willis Hudlin","Indians","2.94","3.11","0.94","0.50","7.3%","7.7%","-0.4%",".298","1.58",".314","64.6%","100","95","","4.60","4.23","0.37","","","1006132"
"2011","Jhoulys Chacin","Rockies","6.96","4.04","1.72","0.93","18.1%","10.5%","7.6%",".228","1.31",".261","74.5%","82","103","103","3.62","4.23","-0.61","3.95","4.07","2608"
"1977","Jesse Jefferson","Blue Jays","4.73","3.44","1.37","0.95","12.2%","8.9%","3.3%",".262","1.41",".280","67.1%","102","102","","4.31","4.23","0.09","","","1006380"
"2007","Daisuke Matsuzaka","Red Sox","8.84","3.52","2.51","1.10","23.0%","9.2%","13.8%",".245","1.32",".299","73.9%","95","98","94","4.40","4.23","0.17","4.17","3.96","7775"
"2017","Clayton Richard","Padres","6.89","2.69","2.56","1.09","17.6%","6.9%","10.7%",".303","1.52",".351","70.6%","114","99","87","4.79","4.23","0.56","3.76","4.06","3551"
"1983","Ken Schrom","Twins","3.67","3.67","1.00","0.64","9.5%","9.5%","0.0%",".260","1.41",".276","72.7%","87","105","","3.71","4.23","-0.51","","","1011620"
"2000","Chan Ho Park","Dodgers","8.64","4.94","1.75","0.84","22.5%","12.9%","9.7%",".209","1.31",".258","77.6%","75","90","","3.27","4.23","-0.96","","","1267"
"1943","Johnnie Wittig","Giants","3.07","4.17","0.74","0.77","7.8%","10.6%","-2.8%",".270","1.51",".278","71.4%","123","125","","4.23","4.23","0.00","","","1014173"
"2003","Tomo Ohka","Expos","5.34","2.04","2.62","1.09","13.7%","5.2%","8.5%",".288","1.40",".313","71.4%","94","96","96","4.16","4.23","-0.07","4.18","4.33","788"
"1896","Doc McJames","Senators","3.31","4.33","0.76","0.06","","","",".282","1.59",".309","53.6%","97","96","","4.27","4.23","0.04","","","1008576"
"2015","Jeff Samardzija","White Sox","6.86","2.06","3.33","1.22","17.9%","5.4%","12.5%",".269","1.29",".303","67.2%","125","103","107","4.96","4.23","0.73","4.31","4.18","3254"
"1980","Lynn McGlothen","Cubs","5.87","3.16","1.86","1.18","14.8%","8.0%","6.8%",".286","1.51",".314","70.5%","123","113","","4.79","4.23","0.56","","","1008534"
"2016","Chris Tillman","Orioles","7.33","3.45","2.12","0.99","19.6%","9.2%","10.4%",".241","1.28",".282","77.0%","89","96","107","3.77","4.23","-0.46","4.54","4.61","5279"
"1933","Bill Walker","Cardinals","2.34","3.82","0.61","0.46","5.9%","9.7%","-3.8%",".268","1.49",".277","73.4%","99","116","","3.42","4.23","-0.81","","","1013508"
"1999","Omar Daal","Diamondbacks","6.20","3.31","1.87","0.88","16.5%","8.8%","7.7%",".232","1.24",".261","74.4%","78","91","","3.65","4.23","-0.58","","","646"
"1929","Tommy Thomas","White Sox","2.15","2.08","1.03","0.59","5.7%","5.5%","0.2%",".261","1.27",".265","66.3%","76","97","","3.19","4.23","-1.04","","","1012996"
"1988","Bill Swift","Mariners","2.42","3.35","0.72","0.52","6.2%","8.6%","-2.4%",".291","1.51",".301","67.1%","111","103","","4.59","4.23","0.36","","","1012788"
"2012","Bud Norris","Astros","8.82","3.53","2.50","1.23","22.5%","9.0%","13.5%",".250","1.37",".301","72.1%","118","107","105","4.65","4.23","0.42","4.12","3.97","9492"
"1984","Eric Show","Padres","4.53","3.83","1.18","0.78","12.1%","10.2%","1.9%",".227","1.27",".242","74.0%","97","118","","3.40","4.23","-0.83","","","1011937"
"1925","Johnny Morrison","Pirates","2.56","2.56","1.00","0.51","6.4%","6.4%","0.0%",".284","1.45",".294","67.4%","89","97","","3.88","4.23","-0.35","","","1009217"
"1937","Denny Galehouse","Indians","3.50","3.72","0.94","0.49","8.8%","9.4%","-0.6%",".296","1.60",".317","67.8%","100","94","","4.57","4.23","0.34","","","1004443"
"1977","Fergie Jenkins","Red Sox","4.90","1.68","2.92","1.40","13.3%","4.6%","8.7%",".252","1.17",".258","73.4%","83","100","","3.68","4.23","-0.55","","","1006388"
"1975","Doug Konieczny","Astros","4.68","4.58","1.02","0.79","11.7%","11.4%","0.3%",".273","1.58",".297","71.3%","131","122","","4.47","4.23","0.24","","","1007094"
"1998","Bret Saberhagen","Red Sox","5.14","1.49","3.45","1.13","13.8%","4.0%","9.8%",".262","1.20",".280","72.4%","83","95","","3.96","4.23","-0.27","","","1011355"
"1937","Thornton Lee","White Sox","3.52","2.64","1.33","0.75","9.1%","6.9%","2.3%",".256","1.31",".267","72.7%","75","92","","3.52","4.23","-0.71","","","1007468"
"1978","Jim Rooker","Pirates","4.19","4.46","0.94","0.72","10.6%","11.3%","-0.7%",".253","1.48",".270","66.4%","116","117","","4.24","4.23","0.01","","","1011183"
"1994","Wilson Alvarez","White Sox","6.01","3.45","1.74","0.89","15.8%","9.1%","6.7%",".237","1.29",".264","73.4%","75","90","","3.45","4.23","-0.78","","","1193"
"1939","Mel Harder","Indians","2.90","2.77","1.05","0.65","7.6%","7.3%","0.3%",".263","1.33",".272","73.8%","78","98","","3.50","4.23","-0.73","","","1005339"
"1950","Ken Raffensberger","Reds","3.28","1.51","2.18","1.28","8.5%","3.9%","4.6%",".275","1.30",".275","70.1%","101","98","","4.26","4.23","0.02","","","1010646"
"1936","Bill Swift","Pirates","3.16","2.16","1.46","0.62","8.2%","5.6%","2.6%",".261","1.29",".272","66.4%","99","99","","4.01","4.23","-0.22","","","1012787"
"1934","Johnny Murphy","Yankees","3.03","3.29","0.92","0.48","8.2%","8.9%","-0.7%",".246","1.30",".259","74.9%","75","102","","3.12","4.23","-1.11","","","1009368"
"1998","Rolando Arrojo","Devil Rays","6.77","2.90","2.34","0.94","17.8%","7.6%","10.2%",".254","1.29",".292","78.1%","76","92","","3.56","4.23","-0.67","","","174"
"1977","Ken Brett","- - -","3.20","2.12","1.51","1.00","8.4%","5.6%","2.8%",".289","1.38",".296","69.6%","114","107","","4.53","4.23","0.29","","","1001402"
"2000","Jon Lieber","Cubs","6.88","1.94","3.56","1.29","18.3%","5.2%","13.2%",".252","1.20",".281","69.6%","97","90","","4.41","4.23","0.18","","","287"
"1925","Rube Walberg","Athletics","3.85","3.62","1.06","0.52","9.9%","9.3%","0.6%",".263","1.43",".283","67.9%","90","95","","3.99","4.23","-0.24","","","1013501"
"1936","Mace Brown","Pirates","3.05","3.00","1.02","0.44","7.8%","7.7%","0.1%",".269","1.41",".285","65.1%","95","99","","3.87","4.23","-0.36","","","1001541"
"2008","Carlos Zambrano","Cubs","6.20","3.43","1.81","0.86","16.3%","9.1%","7.3%",".240","1.29",".270","73.4%","87","96","102","3.91","4.23","-0.32","4.40","4.52","305"
"1984","Luis Leal","Blue Jays","5.42","3.12","1.74","1.09","14.1%","8.1%","6.0%",".255","1.34",".274","74.2%","94","105","","3.89","4.23","-0.35","","","1007431"
"1991","Todd Stottlemyre","Blue Jays","4.77","3.08","1.55","0.86","12.6%","8.1%","4.5%",".233","1.23",".248","73.1%","91","102","","3.78","4.23","-0.45","","","75"
"1991","Ron Darling","- - -","5.97","3.29","1.82","1.02","15.6%","8.6%","7.0%",".248","1.32",".273","70.5%","114","112","","4.26","4.23","0.03","","","1002989"
"1895","Billy Rhines","Reds","2.42","2.56","0.95","0.13","","","",".299","1.49",".318","51.7%","97","86","","4.81","4.24","0.57","","","1010880"
"1993","Wilson Alvarez","White Sox","6.72","5.29","1.27","0.61","17.7%","13.9%","3.8%",".225","1.40",".266","79.0%","70","99","","2.95","4.24","-1.29","","","1193"
"1982","Steve Mura","Cardinals","4.10","3.91","1.05","0.78","10.6%","10.1%","0.5%",".274","1.50",".293","73.7%","111","120","","4.05","4.24","-0.18","","","1009337"
"2004","Tom Glavine","Mets","4.62","2.97","1.56","0.85","12.1%","7.7%","4.3%",".245","1.29",".261","73.2%","86","98","99","3.60","4.24","-0.63","4.36","4.76","90"
"1925","Bob Shawkey","Yankees","3.92","3.24","1.21","0.58","10.1%","8.4%","1.8%",".286","1.48",".309","68.1%","96","99","","4.11","4.24","-0.12","","","1011825"
"2007","Tom Gorzelanny","Pirates","6.02","3.03","1.99","0.80","15.5%","7.8%","7.7%",".269","1.40",".305","75.8%","88","95","104","3.88","4.24","-0.35","4.68","4.67","6244"
"1964","Dick Stigman","Twins","7.53","3.32","2.27","1.47","20.0%","8.8%","11.2%",".223","1.21",".244","73.6%","108","110","","4.03","4.24","-0.21","","","1012534"
"1981","Jim Slaton","Brewers","3.61","3.84","0.94","0.77","9.4%","10.0%","-0.6%",".268","1.45",".281","70.9%","125","119","","4.37","4.24","0.14","","","1012054"
"1989","Tom Browning","Reds","4.25","2.31","1.84","1.12","11.5%","6.2%","5.2%",".250","1.22",".258","75.2%","93","112","","3.39","4.24","-0.85","","","1001566"
"1934","Jack Russell","Senators","2.17","3.20","0.68","0.34","5.5%","8.1%","-2.6%",".282","1.49",".293","66.1%","96","98","","4.17","4.24","-0.07","","","1011313"
"1947","Fred Sanford","Browns","2.99","3.66","0.82","0.82","7.7%","9.5%","-1.7%",".256","1.40",".261","72.6%","95","107","","3.71","4.24","-0.52","","","1011430"
"2006","Orlando Hernandez","- - -","9.09","3.38","2.69","1.22","23.5%","8.7%","14.7%",".248","1.33",".302","70.0%","104","93","95","4.66","4.24","0.42","4.29","3.97","823"
"1986","Mike Moore","Mariners","4.94","3.18","1.55","0.95","12.8%","8.2%","4.5%",".269","1.40",".290","70.6%","100","97","","4.30","4.24","0.06","","","1009122"
"1991","Jose DeJesus","Phillies","5.85","6.34","0.92","0.35","14.7%","16.0%","-1.3%",".220","1.51",".257","76.2%","92","114","","3.42","4.24","-0.82","","","1003151"
"1891","Pat Luby","Colts","2.27","4.11","0.55","0.48","","","",".276","1.53",".284","55.7%","140","120","","4.76","4.24","0.52","","","1007802"
"1974","Stan Bahnsen","White Sox","4.24","4.58","0.93","0.71","10.7%","11.5%","-0.8%",".273","1.57",".294","67.5%","126","118","","4.70","4.24","0.46","","","1000414"
"1983","Phil Niekro","Braves","5.71","4.69","1.22","0.80","14.4%","11.8%","2.6%",".271","1.57",".306","76.6%","103","109","","3.97","4.24","-0.27","","","1009583"
"2009","Zach Duke","Pirates","4.48","2.07","2.16","0.97","11.9%","5.5%","6.4%",".275","1.31",".293","72.6%","98","101","100","4.06","4.24","-0.18","4.25","4.57","3840"
"1977","Geoff Zahn","Twins","4.00","3.00","1.33","0.91","10.1%","7.6%","2.5%",".293","1.52",".310","68.2%","113","104","","4.68","4.24","0.44","","","1014410"
"1928","Carmen Hill","Pirates","2.77","3.08","0.90","0.61","7.2%","8.0%","-0.8%",".248","1.31",".255","70.0%","86","100","","3.53","4.24","-0.71","","","1005809"
"1961","Chuck Estrada","Orioles","6.79","5.60","1.21","0.81","17.3%","14.3%","3.0%",".203","1.37",".232","76.5%","97","109","","3.69","4.24","-0.55","","","1003841"
"2010","James Shields","Rays","8.28","2.26","3.67","1.50","20.8%","5.7%","15.1%",".292","1.46",".341","68.4%","131","104","85","5.18","4.24","0.94","3.55","3.55","7059"
"1896","Adonis Terry","Colts","2.86","3.36","0.85","0.23","","","",".291","1.53",".312","56.7%","98","94","","4.43","4.24","0.19","","","1012926"
"2007","Carlos Silva","Twins","3.97","1.60","2.47","0.89","10.5%","4.3%","6.3%",".283","1.31",".299","70.5%","94","98","100","4.19","4.24","-0.05","4.44","4.71","973"
"2013","Edinson Volquez","- - -","7.50","4.07","1.84","1.00","18.3%","9.9%","8.4%",".277","1.59",".325","64.5%","160","115","108","5.71","4.24","1.47","4.07","4.26","3990"
"1928","George Blaeholder","Browns","3.65","2.18","1.67","0.97","9.2%","5.5%","3.7%",".262","1.34",".270","64.6%","104","104","","4.37","4.24","0.13","","","1001025"
"1926","Bob Smith","Braves","1.97","3.35","0.59","0.45","5.2%","8.9%","-3.7%",".258","1.36",".264","70.4%","103","116","","3.75","4.24","-0.48","","","1012100"
"1954","Corky Valentine","Redlegs","3.38","2.78","1.22","1.11","8.9%","7.3%","1.6%",".278","1.39",".282","73.3%","106","102","","4.45","4.24","0.21","","","1013325"
"1993","Ramon Martinez","Dodgers","5.40","4.42","1.22","0.64","13.8%","11.3%","2.5%",".249","1.45",".280","76.8%","89","107","","3.44","4.24","-0.80","","","1008193"
"1995","Paul Quantrill","Phillies","5.17","2.21","2.34","1.00","13.1%","5.6%","7.5%",".289","1.43",".314","68.4%","111","101","","4.67","4.24","0.43","","","669"
"1949","Bill Voiselle","Braves","3.35","4.15","0.81","0.74","8.6%","10.6%","-2.0%",".258","1.46",".269","71.9%","105","111","","4.04","4.24","-0.20","","","1013448"
"1940","Ken Chase","Senators","4.44","4.92","0.90","0.48","11.1%","12.3%","-1.2%",".256","1.54",".281","74.2%","77","103","","3.23","4.24","-1.01","","","1002164"
"2005","Jon Garland","White Sox","4.68","1.91","2.45","1.06","12.8%","5.2%","7.6%",".250","1.17",".263","75.4%","78","93","95","3.50","4.24","-0.74","4.10","4.35","232"
"1940","Spud Chandler","Yankees","2.93","3.14","0.93","0.63","7.6%","8.1%","-0.5%",".273","1.42",".283","64.3%","110","103","","4.60","4.24","0.36","","","1002133"
"1983","Chuck Rainey","Cubs","3.96","3.49","1.14","0.80","10.1%","8.9%","1.2%",".289","1.53",".307","68.7%","115","108","","4.48","4.24","0.23","","","1010654"
"1989","Jack Morris","Tigers","6.08","3.12","1.95","1.22","15.5%","7.9%","7.5%",".277","1.46",".305","68.0%","126","109","","4.86","4.24","0.62","","","1009211"
"1947","Allie Reynolds","Yankees","4.80","4.58","1.05","0.86","12.3%","11.8%","0.6%",".225","1.37",".240","79.5%","87","113","","3.20","4.24","-1.04","","","1010860"
"1988","Floyd Bannister","Royals","5.37","3.23","1.66","1.05","13.9%","8.3%","5.5%",".245","1.32",".263","68.2%","109","112","","4.33","4.24","0.08","","","1000516"
"1953","Bob Friend","Pirates","3.48","3.01","1.16","0.95","8.8%","7.6%","1.2%",".281","1.46",".290","65.9%","111","97","","4.90","4.24","0.66","","","1004355"
"1940","Bill McGee","Cardinals","3.22","3.96","0.81","0.54","8.2%","10.1%","-1.9%",".259","1.46",".273","70.3%","94","103","","3.80","4.24","-0.45","","","1008507"
"1898","Ralph Miller","Bridegrooms","2.55","5.10","0.50","0.24","","","",".273","1.63",".290","55.4%","147","124","","5.34","4.24","1.10","","","1008922"
"1996","Jason Isringhausen","Mets","5.98","3.83","1.56","0.68","14.9%","9.5%","5.4%",".277","1.53",".317","66.5%","116","100","","4.77","4.24","0.53","","","1158"
"2012","Dan Haren","Angels","7.23","1.94","3.74","1.43","19.0%","5.1%","13.9%",".269","1.29",".302","70.9%","112","107","97","4.33","4.24","0.09","4.00","3.95","1757"
"1932","Monte Weaver","Senators","3.19","4.31","0.74","0.35","8.1%","10.9%","-2.8%",".258","1.49",".276","66.2%","93","99","","4.08","4.24","-0.17","","","1013702"
"1997","Chris Holt","Astros","4.08","2.62","1.56","0.73","10.8%","6.9%","3.9%",".259","1.30",".276","71.0%","89","106","","3.52","4.24","-0.72","","","1005983"
"2000","Darryl Kile","Cardinals","7.44","2.25","3.31","1.28","20.0%","6.0%","14.0%",".242","1.18",".274","73.8%","85","88","","3.91","4.24","-0.33","","","1163"
"1981","Mike Norris","Athletics","4.07","3.28","1.24","0.89","10.8%","8.7%","2.1%",".224","1.20",".231","72.6%","108","116","","3.75","4.25","-0.49","","","1009637"
"1926","Dutch Levsen","Indians","2.01","3.22","0.62","0.42","5.2%","8.3%","-3.1%",".254","1.35",".260","69.7%","84","105","","3.41","4.25","-0.83","","","1007570"
"1934","Johnny Marcum","Athletics","3.57","3.41","1.05","0.50","8.9%","8.5%","0.4%",".274","1.49",".293","65.9%","98","94","","4.50","4.25","0.25","","","1008103"
"1899","Charlie Knepper","Spiders","1.76","3.15","0.56","0.45","","","",".331","1.75",".339","54.5%","150","116","","5.78","4.25","1.53","","","1007032"
"2019","Mike Minor","Rangers","8.64","2.94","2.94","1.30","23.2%","7.9%","15.3%",".241","1.24",".287","80.3%","71","89","100","3.59","4.25","-0.66","4.60","4.51","10021"
"2003","Kenny Rogers","Twins","5.35","2.31","2.32","1.02","13.6%","5.9%","7.8%",".287","1.42",".314","70.0%","100","98","98","4.57","4.25","0.32","4.38","4.52","1277"
"1979","Vida Blue","Giants","5.24","4.22","1.24","0.87","13.3%","10.7%","2.6%",".265","1.51",".290","66.0%","138","117","","5.01","4.25","0.77","","","1001094"
"1933","Sam Jones","White Sox","3.06","3.31","0.92","0.66","7.9%","8.6%","-0.7%",".262","1.39",".272","73.3%","79","106","","3.36","4.25","-0.88","","","1006589"
"2010","Barry Zito","Giants","6.77","3.79","1.79","0.90","17.7%","9.9%","7.8%",".243","1.34",".279","72.1%","108","110","114","4.15","4.25","-0.09","4.58","4.53","944"
"1969","Mike McCormick","Giants","3.48","3.52","0.99","0.92","9.2%","9.3%","-0.1%",".235","1.28",".238","76.4%","94","124","","3.34","4.25","-0.91","","","1008420"
"1929","Waite Hoyt","Yankees","2.54","3.08","0.83","0.40","6.5%","7.8%","-1.4%",".270","1.43",".282","63.2%","105","101","","4.24","4.25","-0.01","","","1006115"
"1929","Danny MacFayden","Red Sox","2.48","3.30","0.75","0.33","6.5%","8.6%","-2.1%",".264","1.38",".277","67.7%","88","99","","3.62","4.25","-0.62","","","1007904"
"2003","Vicente Padilla","Phillies","5.74","2.67","2.15","0.95","15.2%","7.1%","8.1%",".246","1.24",".271","74.0%","86","100","101","3.62","4.25","-0.63","4.38","4.38","964"
"1931","Glenn Spencer","Pirates","2.46","3.13","0.78","0.39","6.5%","8.3%","-1.8%",".252","1.31",".263","69.9%","89","107","","3.42","4.25","-0.83","","","1012323"
"1924","Stan Baumgartner","Athletics","2.24","3.63","0.62","0.30","5.8%","9.4%","-3.6%",".259","1.40",".270","74.5%","66","99","","2.88","4.25","-1.36","","","1000690"
"1996","Jaime Navarro","Cubs","6.01","2.74","2.19","0.95","15.7%","7.2%","8.5%",".264","1.34",".295","72.2%","92","97","","3.92","4.25","-0.33","","","1009465"
"1988","Paul Kilgus","Rangers","3.90","3.14","1.24","0.80","10.1%","8.2%","2.0%",".241","1.28",".251","67.5%","104","108","","4.16","4.25","-0.09","","","1006899"
"1924","Joe Bush","Yankees","2.86","3.89","0.73","0.32","7.2%","9.8%","-2.6%",".263","1.47",".279","71.4%","86","105","","3.57","4.25","-0.68","","","1001754"
"1883","Tip O'Neill","Gothams","3.34","3.89","0.86","0.30","","","",".304","1.66",".328","49.0%","132","137","","4.07","4.25","-0.18","","","1009821"
"1925","Guy Bush","Cubs","3.76","2.57","1.46","0.74","9.6%","6.6%","3.0%",".290","1.46",".307","67.2%","100","99","","4.30","4.25","0.05","","","1001752"
"1921","Joe Oeschger","Braves","2.05","2.92","0.70","0.33","5.5%","7.8%","-2.3%",".267","1.34",".276","71.8%","96","112","","3.52","4.25","-0.73","","","1009738"
"1984","Tim Lollar","Padres","6.03","4.83","1.25","0.83","15.7%","12.6%","3.1%",".230","1.40",".258","74.4%","112","118","","3.91","4.25","-0.34","","","1007715"
"1938","Pete Appleton","Senators","3.40","3.34","1.02","0.66","8.6%","8.5%","0.1%",".265","1.44",".278","62.7%","101","98","","4.60","4.25","0.35","","","1000283"
"1923","Tony Kaufmann","Cubs","3.14","2.92","1.07","0.61","8.2%","7.6%","0.6%",".260","1.34",".272","71.1%","77","106","","3.10","4.25","-1.15","","","1006718"
"1930","Pat Malone","Cubs","4.70","3.18","1.48","0.46","11.9%","8.0%","3.8%",".265","1.42",".294","66.3%","80","87","","3.94","4.25","-0.31","","","1008044"
"2005","Jon Lieber","Phillies","6.14","1.69","3.63","1.36","16.3%","4.5%","11.8%",".258","1.21",".278","72.7%","97","97","87","4.20","4.25","-0.05","3.72","3.87","287"
"1889","Elmer Smith","Red Stockings","4.61","4.48","1.03","0.49","","","",".306","1.74",".341","54.1%","126","112","","4.88","4.25","0.62","","","1012134"
"1975","Fred Norman","Reds","5.70","4.02","1.42","1.10","15.0%","10.6%","4.4%",".229","1.31",".246","75.4%","104","118","","3.73","4.25","-0.52","","","1009632"
"1980","Mark Bomback","Mets","3.76","2.71","1.39","0.94","9.6%","6.9%","2.7%",".291","1.48",".304","74.5%","115","118","","4.09","4.25","-0.16","","","1001156"
"2010","Phil Hughes","Yankees","7.45","2.96","2.52","1.28","20.0%","8.0%","12.1%",".241","1.25",".273","74.1%","98","98","99","4.19","4.25","-0.07","4.13","4.03","7450"
"1932","Jumbo Elliott","Phillies","3.36","2.55","1.32","0.76","8.2%","6.2%","2.0%",".297","1.55",".311","60.2%","125","95","","5.42","4.25","1.17","","","1003741"
"2011","Jake Westbrook","Cardinals","5.11","3.58","1.42","0.79","12.9%","9.0%","3.8%",".283","1.53",".313","69.1%","126","113","106","4.66","4.25","0.41","4.08","4.21","412"
"1977","Jim Colborn","Royals","3.88","3.05","1.27","0.83","10.1%","7.9%","2.2%",".251","1.31",".263","74.6%","88","107","","3.62","4.25","-0.64","","","1002409"
"1970","Jerry Janeski","White Sox","3.46","2.76","1.25","0.96","8.7%","7.0%","1.8%",".294","1.51",".305","66.9%","123","104","","4.77","4.25","0.52","","","1006356"
"1996","Alex Fernandez","White Sox","6.98","2.51","2.78","1.19","18.7%","6.7%","12.0%",".250","1.24",".282","77.7%","72","88","","3.45","4.25","-0.80","","","1003993"
"1947","Don Black","Indians","3.40","4.01","0.85","0.80","8.9%","10.6%","-1.6%",".246","1.37",".254","72.3%","112","119","","3.92","4.25","-0.34","","","1001010"
"1953","Larry Jansen","Giants","4.29","2.68","1.60","1.17","11.2%","7.0%","4.2%",".254","1.30",".261","70.1%","97","100","","4.14","4.25","-0.11","","","1006358"
"1947","Dave Koslo","Giants","3.56","3.40","1.05","0.95","9.0%","8.6%","0.4%",".255","1.40",".262","68.9%","107","105","","4.39","4.25","0.14","","","1007118"
"1995","Mark Portugal","- - -","4.76","2.77","1.71","0.84","12.4%","7.2%","5.2%",".259","1.33",".279","69.6%","98","101","","4.01","4.25","-0.24","","","1010460"
"1923","Elam Vangilder","Browns","2.36","3.83","0.62","0.35","6.1%","9.9%","-3.8%",".255","1.40",".265","70.6%","73","101","","3.06","4.25","-1.19","","","1013355"
"1983","Milt Wilcox","Tigers","4.89","3.58","1.36","0.92","13.0%","9.6%","3.5%",".235","1.28",".251","71.0%","98","103","","3.97","4.26","-0.29","","","1013939"
"1950","Ellis Kinder","Red Sox","4.13","3.39","1.22","1.00","10.5%","8.6%","1.9%",".257","1.40",".268","71.9%","88","90","","4.26","4.26","0.01","","","1006922"
"1921","Lee Meadows","Phillies","2.41","2.87","0.84","0.46","6.0%","7.1%","-1.1%",".280","1.48",".290","62.6%","102","98","","4.31","4.26","0.05","","","1008705"
"2018","Jake Arrieta","Phillies","7.19","2.97","2.42","1.09","19.1%","7.9%","11.2%",".250","1.29",".287","68.1%","98","102","100","3.96","4.26","-0.29","4.08","4.29","4153"
"1951","Murry Dickson","Pirates","3.49","3.15","1.11","1.00","9.0%","8.1%","0.9%",".259","1.37",".265","70.2%","97","100","","4.02","4.26","-0.23","","","1003282"
"1936","Joe Bowman","Phillies","3.54","2.34","1.51","0.62","8.8%","5.8%","3.0%",".287","1.45",".304","57.5%","111","89","","5.04","4.26","0.78","","","1001269"
"1928","Red Faber","White Sox","1.92","3.04","0.63","0.49","4.7%","7.4%","-2.7%",".264","1.45",".268","70.5%","95","111","","3.75","4.26","-0.50","","","1003889"
"2019","Jon Lester","Cubs","8.65","2.73","3.17","1.36","21.6%","6.8%","14.8%",".290","1.50",".347","71.4%","102","96","98","4.46","4.26","0.20","4.35","4.49","4930"
"1941","Dick Errickson","Braves","2.44","3.37","0.73","0.65","6.1%","8.4%","-2.3%",".284","1.53",".291","65.5%","135","117","","4.78","4.26","0.52","","","1003815"
"2006","Vicente Padilla","Rangers","7.02","3.15","2.23","0.95","17.9%","8.0%","9.9%",".262","1.38",".304","70.2%","95","92","97","4.50","4.26","0.24","4.38","4.38","964"
"2011","Brett Myers","Astros","6.67","2.38","2.81","1.29","17.5%","6.2%","11.2%",".264","1.31",".293","70.2%","118","109","97","4.46","4.26","0.20","3.75","3.82","962"
"1998","Joey Hamilton","Padres","6.09","4.39","1.39","0.62","15.3%","11.1%","4.3%",".261","1.50",".301","70.6%","108","102","","4.27","4.26","0.01","","","328"
"1997","Willie Blair","Tigers","4.63","2.37","1.96","0.93","12.2%","6.2%","6.0%",".270","1.33",".289","71.5%","90","91","","4.17","4.26","-0.09","","","1001033"
"1950","Johnny Sain","Braves","3.10","2.26","1.37","1.10","8.2%","5.9%","2.2%",".266","1.31",".266","71.3%","100","105","","3.94","4.26","-0.31","","","1011373"
"1887","Charlie Getzein","Wolverines","3.31","2.60","1.27","0.59","","","",".265","1.31",".280","59.0%","92","101","","3.73","4.26","-0.53","","","1004649"
"1988","Bill Long","White Sox","3.98","2.22","1.79","1.08","10.5%","5.9%","4.6%",".273","1.32",".283","70.9%","101","111","","4.03","4.26","-0.23","","","1007727"
"1981","Fergie Jenkins","Rangers","5.35","3.40","1.58","1.19","13.5%","8.6%","4.9%",".286","1.53",".309","75.1%","126","119","","4.50","4.26","0.24","","","1006388"
"2003","Derek Lowe","Red Sox","4.87","3.19","1.53","0.75","12.4%","8.1%","4.3%",".269","1.42",".294","67.6%","97","97","88","4.47","4.26","0.21","3.91","3.77","199"
"1935","Bob Smith","Braves","2.57","2.70","0.95","0.58","6.5%","6.8%","-0.3%",".280","1.44",".289","68.8%","106","113","","3.94","4.26","-0.32","","","1012100"
"1985","Kirk McCaskill","Angels","4.84","3.04","1.59","1.09","12.6%","7.9%","4.7%",".256","1.33",".270","67.6%","115","102","","4.70","4.26","0.44","","","1008382"
"1982","Doug Bird","Cubs","3.35","1.41","2.37","1.23","8.7%","3.7%","5.0%",".293","1.36",".296","63.6%","135","114","","5.14","4.26","0.88","","","1000976"
"2017","Jhoulys Chacin","Padres","7.64","3.59","2.13","0.95","20.0%","9.4%","10.6%",".231","1.27",".272","74.4%","92","99","105","3.89","4.26","-0.37","4.54","4.63","2608"
"1890","Al Maul","Burghers","2.96","3.79","0.78","0.47","","","",".271","1.47",".285","51.5%","94","108","","3.79","4.26","-0.47","","","1008273"
