"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"1979","J.R. Richard","Astros","9.64","3.02","3.19","0.40","26.6%","8.3%","18.3%",".205","1.09",".277","73.7%","78","61","","2.71","2.21","0.50","","","1010913"
"1880","George Bradley","Grays","2.48","0.28","9.00","0.09","","","",".222","0.84",".238","60.8%","60","96","","1.38","2.21","-0.83","","","1001307"
"1908","Hooks Wiltse","Giants","3.22","1.99","1.62","0.11","","","",".222","1.03",".244","73.9%","95","91","","2.24","2.21","0.03","","","1014116"
"1917","Jesse Barnes","Braves","3.26","1.53","2.14","0.09","9.2%","4.3%","4.9%",".235","1.05",".257","64.2%","103","90","","2.68","2.21","0.48","","","1000566"
"1908","Jack Chesbro","Highlanders","3.87","2.09","1.85","0.19","","","",".250","1.17",".277","63.7%","115","98","","2.93","2.21","0.72","","","1002179"
"1906","Addie Joss","Naps","3.38","1.37","2.47","0.10","","","",".217","0.93",".239","70.7%","65","88","","1.72","2.21","-0.49","","","1006630"
"1909","George Mullin","Tigers","3.68","2.31","1.59","0.03","","","",".232","1.11",".260","72.4%","86","92","","2.22","2.21","0.01","","","1009302"
"2003","Pedro Martinez","Red Sox","9.93","2.27","4.38","0.34","27.5%","6.3%","21.2%",".212","1.04",".292","78.2%","48","51","69","2.22","2.21","0.01","3.08","2.96","200"
"1908","Billy Campbell","Reds","2.97","1.79","1.66","0.12","","","",".245","1.12",".266","62.1%","109","92","","2.60","2.21","0.39","","","1001873"
"1917","Eppa Rixey","Phillies","3.87","2.14","1.81","0.03","10.6%","5.9%","4.7%",".233","1.12",".262","68.5%","80","83","","2.27","2.22","0.06","","","1011008"
"1967","Bill Singer","Dodgers","7.44","2.69","2.77","0.22","19.8%","7.1%","12.7%",".236","1.20",".295","75.3%","85","75","","2.64","2.22","0.43","","","1012007"
"1968","Tom Seaver","Mets","6.64","1.56","4.27","0.49","18.8%","4.4%","14.4%",".217","0.98",".257","79.9%","74","80","","2.20","2.22","-0.01","","","1011708"
"1907","Joe McGinnity","Giants","3.48","1.68","2.07","0.17","","","",".268","1.22",".294","69.4%","127","88","","3.16","2.22","0.94","","","1008527"
"1907","Howie Camnitz","Pirates","4.25","2.95","1.44","0.00","","","",".210","1.08",".242","67.0%","87","85","","2.15","2.22","-0.07","","","1001866"
"1906","Hooks Wiltse","Giants","4.51","2.09","2.16","0.11","","","",".244","1.14",".279","69.1%","86","81","","2.27","2.22","0.06","","","1014116"
"1879","John Ward","Grays","3.66","0.55","6.64","0.08","","","",".256","1.03",".286","56.2%","89","92","","2.15","2.22","-0.07","","","1013615"
"1904","Frank Smith","White Sox","4.76","2.58","1.84","0.00","","","",".216","1.06",".253","72.7%","86","102","","2.09","2.22","-0.13","","","1012139"
"1915","Eddie Cicotte","White Sox","4.27","1.93","2.21","0.08","","","",".255","1.18",".290","67.7%","105","79","","3.02","2.22","0.80","","","1002236"
"1907","Nick Altrock","White Sox","2.57","1.31","1.97","0.13","","","",".258","1.13",".277","69.9%","107","101","","2.57","2.22","0.34","","","1000191"
